"Short desc","Keywords","Level","Vnum","Room","Location","Flags","Weight","Value","Material","Worn","Item type","AC/SLevel","Capacity","Spells","Affects","hit roll","damage roll","hp","armor class","strength","dexterity","intelligence","wisdom","constitution","sex","class","level","age","(unknown)","(unknown)","endurance","hp","gold","experience","armor class","hit roll","damage roll","saves","none","air sphere","earth sphere","fire sphere","spirit sphere","water sphere","Bit affects",","Other"
"a {x{Wb{we{Wa{wu{Wt{wi{Wf{wu{Wl {Cpa{ctc{Wh{cwo{Crk {Wbl{ca{Wn{Ck{ce{Wt{x","blanket",0,5993,10,"in room: {x{YY{yas{mmi{Wne{x and {x{RT{ro{Dre{ra{Rn{x's {x{YHa{yp{mp{Wy {RP{rl{Da{rc{Re{x","-------------------",0,0,"quilt","(none)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{Ds{wi{Wlv{we{Dr{x-worked {Db{Woo{Dts{x","silver boots",1,3735,3700,"in room: Newbie School Entrance","-------------------",1,50,"leather silver","(take feet)","armor","0/1/0/0",0,"","+10end",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a marriage {Dd{wa{Wgg{we{Dr{x","dagger marriage",1,3734,3701,"in room: The {rN{Re{Wwb{Ri{re{x School Tutorial:  Part 1 - Rooms & Movement","-------------------",1,50,"silver","(take neck)","armor","1/0/0/0",0,"","+1hit,+1hit",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",,""
"a {rt{Ra{rtt{Roo{x of a {Draven{x and {Dtower{x","tattoo ink",1,3736,3707,"in room: The {rN{Re{Wwb{Ri{re{x School Tutorial:  Part 3 - Objects","-------------------",1,50,"ink","(take)","armor","0/0/1/0",0,"","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a double back {Dsc{ya{Dbb{ya{Drd{x","scabbard leather",1,3730,3708,"in room: The {rN{Re{Wwb{Ri{re{x School Tutorial: Part 3a - Food & Drink","-------------------",1,50,"stone","(take back)","armor","0/1/0/0",0,"","-2arm,-2arm",0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,"",,""
"a slice of {ga{Gppl{ge {ypie{x","food slice apple pie",1,3726,3708,"in room: The {rN{Re{Wwb{Ri{re{x School Tutorial: Part 3a - Food & Drink","-------------------",2,5,"organic","(take)","food",30,30,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a sense of {rs{Re{rns{Rua{rl{Ri{rty{x","sense sensuality",1,3737,3709,"in room: The {rN{Re{Wwb{Ri{re{x School Tutorial: Part 3b - Containers","-------------------",1,50,"sensuality","(take float)","armor","0/0/0/1",0,"","-2arm,-2arm",0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,"",,""
"a canvas {rba{Rc{Wkp{Ra{rck{x","canvas backpack",1,3715,3711,"inside a sense of {rs{Re{rns{Rua{rl{Ri{rty{x in The {rN{Re{Wwb{Ri{re{x School Tutorial:  Part 3d - Equipment","-------------------",10,10,"canvas","(take back)","container",0,"200lbs, 200 max (50% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"round {yg{Yo{Wld{Ye{yn{x hoops","gold hoops",1,3740,3710,"in room: The {rN{Re{Wwb{Ri{re{x School Tutorial:  Part 3c - Lights","-------------------",1,50,"gold","(take ear)","armor","0/0/1/0",0,"","-2arm,-2arm",0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,"",,""
"a narrow {bb{Be{blt{x","belt leather",1,3741,3710,"inside round {yg{Yo{Wld{Ye{yn{x hoops in The {rN{Re{Wwb{Ri{re{x School Tutorial:  Part 3c - Lights","-------------------",1,50,"leather","(take waist)","armor","0/0/0/1",0,"","-2arm,-2arm",0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x cap","newbie cap",1,3706,3711,"inside a sense of {rs{Re{rns{Rua{rl{Ri{rty{x in The {rN{Re{Wwb{Ri{re{x School Tutorial:  Part 3d - Equipment","-------------------",2,10,"leather","(take head)","armor","1/0/0/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rn{Re{Wwb{Ri{re{x leggings","newbie leggings",1,3707,3711,"inside a sense of {rs{Re{rns{Rua{rl{Ri{rty{x in The {rN{Re{Wwb{Ri{re{x School Tutorial:  Part 3d - Equipment","-------------------",3,10,"leather","(take legs)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a slice of {ga{Gppl{ge {ypie{x","food slice apple pie",0,3726,3717,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",2,5,"organic","(take)","food",30,30,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rN{Re{Wwb{Ri{re{x canteen","newbie canteen",0,3746,3717,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",10,10,"leather","(take hold)","drink container",0,100,"water","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small {Rb{We{Rdr{Wo{Rll{x","bedroll",0,3747,3717,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",5,10,"cloth","(take)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x arrow","newbie arrow",10,3725,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",1,5,"wood","(take hold)","weapon(pierce)","5d5",0,"none","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x lance","lance sub",10,3724,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",5,10,"steel","(take wield)","weapon(thrust)","5d7",0,"two-handed","+4dam,+4dam",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x bow","newbie bow",10,3723,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",5,10,"wood","(take wield)","weapon(blast)","5d5",0,"two-handed","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x poleaxe","newbie poleaxe",10,3722,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",8,10,"wood","(take wield)","weapon(slash)","5d5",0,"two-handed","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x whip","newbie whip",10,3721,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",3,10,"leather","(take wield)","weapon(whip)","5d5",0,"none","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x flail","newbie flail",10,3720,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",5,10,"bronze","(take wield)","weapon(smash)","5d5",0,"none","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x axe","newbie axe",10,3719,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",8,10,"bronze","(take wield)","weapon(chop)","5d5",0,"none","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x staff","newbie staff",10,3718,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",4,10,"wood","(take wield)","weapon(pound)","5d5",0,"two-handed","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x spear","newbie spear",10,3717,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",5,10,"wood","(take wield)","weapon(thrust)","5d5",0,"none","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x sword","newbie sword",10,3702,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",5,10,"bronze","(take wield)","weapon(slash)","5d5",0,"none","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x dagger","newbie dagger",10,3701,3723,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",3,10,"bronze","(take wield)","weapon(pierce)","5d5",0,"none","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x bracer","newbie bracer",10,3713,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",2,10,"bronze","(take wrist)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x sash","newbie sash",10,3712,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",2,10,"leather","(take waist)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x cloak","newbie cloak",10,3711,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",4,10,"cloth","(take body)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rn{Re{Wwb{Ri{re{x sleeves","newbie sleeves",10,3710,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",2,10,"leather","(take arms)","armor","1/0/0/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rn{Re{Wwb{Ri{re{x gloves","newbie gloves",10,3709,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",1,10,"leather","(take hands)","armor","0/1/0/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rn{Re{Wwb{Ri{re{x shoes","newbie shoes",10,3708,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",3,10,"leather","(take feet)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rn{Re{Wwb{Ri{re{x leggings","newbie leggings",10,3707,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",3,10,"leather","(take legs)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x cap","newbie cap",10,3706,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",2,10,"leather","(take head)","armor","1/0/0/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x scarf","newbie scarf",10,3705,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",4,10,"cloth","(take neck)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x shield","newbie shield",10,3704,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",7,10,"wood","(take shield)","armor","0/1/0/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x tunic","newbie tunic",10,3703,3726,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",3,10,"leather","(take torso)","armor","1/0/0/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a canvas {rba{Rc{Wkp{Ra{rck{x","canvas backpack",0,3715,3750,"on a {cs{Ch{Wopkeep{Ce{cr{x","-----------------#-",10,10,"canvas","(take back)","container",0,"200lbs, 200 max (50% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a flaring {Wcloak{x with a {yg{Yo{Wld{Ye{yn {rs{Ru{rn{yb{Yu{Wr{Ys{yt{x","cloak golden sunburst",1,3738,3754,"on a member of the {WCh{Yi{Wldr{Ye{Wn{x of the {WL{Yi{Wght{x","------d------------",3,10,"cloth","(take body)","armor","1/0/0/0",0,"","+10hp,+10hp",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
